FBID	CG	Symbol	status
FBgn0000008	CG6741	a	va
FBgn0000032	CG7899	Acph-1	va
FBgn0029512	CG12276	Aos1	va
FBgn0041164	CG11513	armi	va
FBgn0000163	CG5055	baz	va
FBgn0038925	CG6022	Cchl	va
FBgn0038925	CG6022	Cchl	va
FBgn0032783	CG10237	CG10237	va
FBgn0027512	CG10254	CG10254	va
FBgn0037108	CG11306	CG11306	va
FBgn0031228	CG11455	CG11455	va
FBgn0039796	CG12069	CG12069	va
FBgn0039796	CG12069	CG12069	va
FBgn0033221	CG12825	CG12825	va
FBgn0033464	CG1441	CG1441	va
FBgn0034151	CG15617	CG15617	va
FBgn0040732	CG16926	CG16926	va
FBgn0030263	CG2076	CG2076	va
FBgn0033187	CG2144	CG2144	va
FBgn0033187	CG2144	CG2144	va
FBgn0033273	CG2183	CG2183	va
FBgn0000092	CG2650	CG2650	va
FBgn0000092	CG2650	CG2650	va
FBgn0051097	CG31097	CG31097	va
FBgn0051097	CG31097	CG31097	va
FBgn0051288	CG31288	CG31288	va
FBgn0051871	CG31871	CG31871	va
FBgn0038224	CG3321	CG3321	va
FBgn0053213	CG33213	CG33213	va
FBgn0085243	CG34214	CG34214	va
FBgn0035007	CG3492	CG3492	va
FBgn0036826	CG3893	CG3893	va
FBgn0036826	CG3893	CG3893	va
FBgn0034982	CG4065	CG4065	va
FBgn0034661	CG4386	CG4386	va
FBgn0034661	CG4386	CG4386	va
FBgn0028863	CG4587	CG4587	va
FBgn0038739	CG4686	CG4686	va
FBgn0038739	CG4686	CG4686	va
FBgn0028868	CG4701	CG4701	va
FBgn0043456	CG4747	CG4747	va
FBgn0032242	CG5355	CG5355	va
FBgn0036121	CG6310	CG6310	va
FBgn0028494	CG6424	CG6424	va
FBgn0028494	CG6424	CG6424	va
FBgn0037855	CG6621	CG6621	va
FBgn0037958	CG6962	CG6962	va
FBgn0035689	CG7376	CG7376	va
FBgn0030658	CG7872	CG7872	va
FBgn0030655	CG9213	CG9213	va
FBgn0034617	CG9754	CG9754	va
FBgn0034617	CG9754	CG9754	va
FBgn0034861	CG9815	CG9815	va
FBgn0034649	CG9865	CG9865	va
FBgn0261016	CG42600	clos	va
FBgn0028940	CG8864	Cyp28a5	va
FBgn0033659	CG18188	Damm	va
FBgn0001624	CG1725	dlg1	va
FBgn0015664	CG5838	Dref	va
FBgn0260634	CG10192	eIF4G2	va
FBgn0085421	CG34392	Epac	va
FBgn0035849	CG7404	ERR	va
FBgn0011554	CG12386	etaTry	va
FBgn0000928	CG2706	fs(1)Yb	va
FBgn0000928	CG2706	fs(1)Yb	va
FBgn0036053	CG6718	iPLA2-VIA	va
FBgn0087013	CG1059	Karybeta3	va
FBgn0086372	CG2520	lap	va
FBgn0029800	CG15929	lin-52	va
FBgn0016034	CG11254	mael	va
FBgn0043884	CG33106	mask	va
FBgn0043884	CG33106	mask	va
FBgn0038016	CG10042	MBD-R2	va
FBgn0262519	CG8103	Mi-2	va
FBgn0261963	CG6634	mid	va
FBgn0026061	CG4123	Mipp1	va
FBgn0026061	CG4123	Mipp1	va
FBgn0015520	CG10328	nonA-l	va
FBgn0021761	CG4579	Nup154	va
FBgn0038609	CG7671	Nup43	va
FBgn0036640	CG4118	nxf2	va
FBgn0028411	CG12752	Nxt1	va
FBgn0053526	CG33526	PNUTS	va
FBgn0003162	CG9441	Pu	va
FBgn0003162	CG9441	Pu	va
FBgn0035489	n.d.	Rcd5	va
FBgn0037707	CG16788	RnpS1	va
FBgn0003300	CG1849	run	va
FBgn0033033	CG11066	scaf	va
FBgn0003388	CG13478	shd	va
FBgn0003401	CG4735	shu	va
FBgn0028982	CG12225	Spt6	va
FBgn0003612	CG8068	Su(var)2-10	va
FBgn0029117	CG9943	Surf1	va
FBgn0027360	CG9878	Tim10	va
FBgn0027865	CG6120	Tsp96F	va
FBgn0029113	CG7528	Uba2	va
FBgn0263143	CG4771	vret	va
FBgn0263143	CG4771	vret	va
FBgn0027499	CG12340	wde	va
FBgn0027499	CG12340	wde	va
FBgn0027499	CG12340	wde	va
FBgn0034970	CG4005	yki	va
FBgn0034970	CG4005	yki	va
FBgn0261266	CG12314	zuc	va
