gene_id,cg_id,symbol,ben_74,handler_80,muerdter_87,sum
FBgn0000008,CG6741,a,0,0,1,1
FBgn0000032,CG7899,Acph-1,0,0,1,1
FBgn0000092,CG2650,dyw,0,0,1,1
FBgn0000146,CG6137,aub,1,0,0,1
FBgn0000163,CG5055,baz,0,0,1,1
FBgn0000451,CG6611,ect,1,0,0,1
FBgn0000541,CG32346,E(bx),1,0,0,1
FBgn0000928,CG2706,fs(1)Yb,0,1,1,2
FBgn0001197,CG5499,His2Av,1,1,0,2
FBgn0001624,CG1725,dlg1,0,0,1,1
FBgn0001989,CG13240,ND-B17,0,1,0,1
FBgn0001994,CG7664,crp,1,0,0,1
FBgn0002021,CG10655,l(2)37Bb,1,0,0,1
FBgn0002736,CG9401,mago,0,1,0,1
FBgn0003162,CG9441,Pu,0,0,1,1
FBgn0003300,CG1849,run,0,0,1,1
FBgn0003321,CG1664,sbr,0,1,0,1
FBgn0003388,CG13478,shd,0,0,1,1
FBgn0003401,CG4735,shu,1,1,1,3
FBgn0003483,CG3158,spn-E,1,0,0,1
FBgn0003612,CG8068,Su(var)2-10,0,0,1,1
FBgn0004362,CG17950,HmgD,0,1,0,1
FBgn0004400,CG10683,rhi,1,0,0,1
FBgn0004644,CG4637,hh,1,0,0,1
FBgn0004687,CG3201,Mlc-c,1,0,0,1
FBgn0004872,CG6122,piwi,1,1,0,2
FBgn0004924,CG6146,Top1,0,1,0,1
FBgn0010387,CG8627,Acbp2,1,0,0,1
FBgn0010411,CG8900,RpS18,1,0,0,1
FBgn0010422,CG3710,TfIIS,0,1,0,1
FBgn0010660,CG3820,Nup214,0,1,0,1
FBgn0010774,CG1101,Ref1,1,0,0,1
FBgn0011554,CG12386,etaTry,0,0,1,1
FBgn0011592,CG8581,fra,1,0,0,1
FBgn0011741,CG11678,Arp6,0,1,0,1
FBgn0013347,CG5163,TfIIA-S,1,0,0,1
FBgn0014127,CG10726,barr,1,0,0,1
FBgn0014857,CG5825,His3.3A,0,1,0,1
FBgn0015520,CG10328,nonA-l,0,0,1,1
FBgn0015664,CG5838,Dref,0,0,1,1
FBgn0016034,CG11254,mael,1,1,1,3
FBgn0016041,CG12157,Tom40,1,0,0,1
FBgn0016687,CG4634,Nurf-38,1,0,0,1
FBgn0017566,CG2286,ND-75,0,1,0,1
FBgn0019637,CG1433,Atu,0,1,0,1
FBgn0020261,CG3291,pcm,0,1,0,1
FBgn0021750,CG4938,SerRS-m,1,0,0,1
FBgn0021761,CG4579,Nup154,0,0,1,1
