gene_id,cg_id,symbol,ben_74,ben_216,ben_137,ben_377,handler_49,handler_80,handler_144,muerdter_87,muerdter_52,muerdter_149,sum
FBgn0000008,CG6741,a,0,0,0,0,0,0,0,1,0,0,1
FBgn0000014,CG10325,abd-A,0,0,0,0,0,0,0,0,0,1,1
FBgn0000032,CG7899,Acph-1,0,0,0,0,0,0,0,1,0,0,1
FBgn0000092,CG2650,dyw,0,0,0,0,0,0,0,1,0,0,1
FBgn0000100,CG7490,RpLP0,0,0,0,0,0,0,0,0,1,0,1
FBgn0000117,CG11579,arm,0,0,0,0,0,0,0,0,0,1,1
FBgn0000139,CG6677,ash2,0,0,1,1,0,0,0,0,0,0,2
FBgn0000146,CG6137,aub,1,1,1,1,0,0,0,0,0,0,4
FBgn0000163,CG5055,baz,0,0,0,0,0,0,0,1,0,0,1
FBgn0000376,CG2714,crm,0,0,0,1,0,0,1,0,0,0,2
FBgn0000451,CG6611,ect,1,1,1,1,0,0,0,0,0,0,4
FBgn0000454,CG9285,Dip-B,0,0,0,0,0,0,0,0,0,1,1
FBgn0000541,CG32346,E(bx),1,1,1,1,0,0,0,0,0,0,4
FBgn0000575,CG1007,emc,0,0,0,1,0,0,0,0,0,0,1
FBgn0000578,CG15112,ena,0,0,0,1,0,0,0,0,0,0,1
FBgn0000579,CG17654,Eno,0,1,0,0,0,0,0,0,0,0,1
FBgn0000629,CG6502,E(z),0,0,0,1,0,0,0,0,0,0,1
FBgn0000928,CG2706,fs(1)Yb,0,0,0,0,1,1,1,1,0,0,4
FBgn0000964,CG10034,tj,0,0,0,0,0,0,0,0,1,0,1
FBgn0000996,CG8171,dup,0,1,0,0,0,0,0,0,0,0,1
FBgn0001179,CG8019,hay,0,0,1,1,0,0,0,0,0,0,2
FBgn0001197,CG5499,His2Av,1,1,1,1,1,1,1,0,0,0,7
FBgn0001220,CG8542,Hsc70-5,0,1,1,1,0,0,0,0,0,0,3
FBgn0001222,CG5748,Hsf,0,1,1,1,0,0,0,0,0,0,3
FBgn0001341,CG6189,Mybbp1A,0,1,1,1,0,0,0,0,0,0,3
FBgn0001624,CG1725,dlg1,0,0,0,0,0,0,0,1,0,0,1
FBgn0001989,CG13240,ND-B17,0,0,0,0,0,1,1,0,0,0,2
FBgn0001991,CG4894,Ca-alpha1D,0,1,0,0,0,0,0,0,0,0,1
FBgn0001994,CG7664,crp,1,1,1,1,0,0,0,0,0,0,4
FBgn0002021,CG10655,l(2)37Bb,1,1,1,1,0,0,0,0,0,0,4
FBgn0002044,CG10084,swm,0,0,0,1,0,0,0,0,0,0,1
FBgn0002284,CG4097,Prosbeta6,0,0,0,0,0,0,0,0,1,0,1
FBgn0002431,CG9484,hyd,0,0,0,1,0,0,0,0,0,0,1
FBgn0002531,CG11650,Lcp1,0,0,0,0,0,0,0,0,0,1,1
FBgn0002573,CG32120,sens,0,0,0,0,0,0,0,0,0,1,1
FBgn0002579,CG7622,RpL36,0,1,0,1,0,0,0,0,0,0,2
FBgn0002593,CG4087,RpLP1,0,0,0,0,0,0,0,0,1,0,1
FBgn0002638,CG10480,Rcc1,0,0,0,1,0,0,0,0,0,0,1
FBgn0002736,CG9401,mago,0,1,0,1,1,1,1,0,1,0,6
FBgn0002780,CG2050,mod,0,0,0,0,0,0,0,0,0,1,1
FBgn0002787,CG3416,Rpn8,0,0,0,1,0,0,0,0,0,0,1
FBgn0002791,CG3060,mr,0,0,0,0,0,0,1,0,0,0,1
FBgn0002962,CG5637,nanos,0,0,1,1,0,0,0,0,0,0,2
FBgn0003023,CG12743,otu,0,0,1,1,0,0,0,0,0,0,2
FBgn0003041,CG8114,pbl,0,0,0,1,0,0,0,0,0,0,1
FBgn0003044,CG5109,Pcl,0,0,0,0,0,0,0,0,0,1,1
FBgn0003062,CG9888,Fib,0,1,0,1,0,0,0,0,0,0,2
FBgn0003141,CG16784,pr,0,0,0,1,0,0,0,0,0,0,1
FBgn0003162,CG9441,Pu,0,0,0,0,0,0,0,1,0,0,1
FBgn0003261,CG10279,Rm62,0,0,0,1,0,0,0,0,0,0,1
FBgn0003279,CG5502,RpL4,0,0,0,0,0,0,0,0,1,0,1
FBgn0003300,CG1849,run,0,0,0,0,0,0,0,1,0,0,1
FBgn0003321,CG1664,sbr,0,0,0,0,1,1,1,0,0,0,3
FBgn0003388,CG13478,shd,0,0,0,0,0,0,0,1,0,0,1
FBgn0003401,CG4735,shu,1,1,1,1,0,1,1,1,0,0,7
FBgn0003429,CG10693,slo,0,0,0,1,0,0,0,0,0,0,1
FBgn0003483,CG3158,spn-E,1,1,1,1,0,0,0,0,0,0,4
FBgn0003517,CG14792,sta,0,0,0,0,0,0,0,0,1,0,1
FBgn0003607,CG8409,Su(var)205,0,1,1,1,0,0,0,0,1,0,4
FBgn0003612,CG8068,Su(var)2-10,0,0,0,0,0,0,0,1,0,0,1
FBgn0003744,CG8637,trc,0,0,0,1,0,0,0,0,0,0,1
FBgn0003884,CG1913,alphaTub84B,0,1,0,0,0,0,0,0,0,0,1
FBgn0003886,CG9476,alphaTub85E,0,1,0,1,0,0,0,0,0,0,2
FBgn0003941,CG2960,RpL40,0,0,0,1,0,0,0,0,0,0,1
FBgn0003978,CG10728,vls,0,0,0,1,0,0,0,0,0,0,1
FBgn0003997,CG5123,hid,0,0,0,1,0,0,0,0,0,0,1
FBgn0004103,CG5650,Pp1-87B,0,0,0,0,0,0,0,0,0,1,1
FBgn0004106,CG5363,Cdk1,0,1,0,1,0,0,0,0,0,0,2
FBgn0004177,CG7109,mts,0,0,0,0,0,0,0,0,0,1,1
FBgn0004227,CG4211,nonA,0,0,1,1,0,0,0,0,0,0,2
FBgn0004362,CG17950,HmgD,0,0,0,0,1,1,1,0,0,0,3
FBgn0004378,CG9191,Klp61F,0,0,0,0,0,0,0,0,1,0,1
FBgn0004380,CG10642,Klp64D,0,0,0,0,0,0,0,0,0,1,1
FBgn0004400,CG10683,rhi,1,1,1,1,0,0,0,0,0,0,4
FBgn0004465,CG4086,mPges2,0,0,0,0,0,0,1,0,0,0,1
FBgn0004644,CG4637,hh,1,1,1,1,0,0,0,0,0,0,4
FBgn0004687,CG3201,Mlc-c,1,1,1,1,0,0,0,0,0,0,4
FBgn0004828,CG8989,His3.3B,0,0,0,0,0,0,1,0,0,0,1
FBgn0004838,CG10377,Hrb27C,0,0,1,1,0,0,0,0,0,0,2
FBgn0004855,CG3284,Polr2I,0,0,0,1,0,0,0,0,0,0,1
FBgn0004867,CG5920,RpS2,0,0,0,0,0,0,0,0,1,0,1
FBgn0004872,CG6122,piwi,1,1,1,1,1,1,1,0,1,0,8
