num,gene_id,cg_id,symbol,group
1,FBgn0263198,CG10473,Acn,ben_74
2,FBgn0086251,CG9252,del,ben_74
3,FBgn0267347,CG4711,squ,ben_74
4,FBgn0016034,CG11254,mael,ben_74
5,FBgn0260932,CG13190,cuff,ben_74
6,FBgn0033374,CG13741,Boot,ben_74
7,FBgn0261266,CG12314,zuc,ben_74
8,FBgn0030373,CG12721,moon,ben_74
9,FBgn0033273,CG2183,Gasz,ben_74
10,FBgn0034617,CG9754,Panx,ben_74
11,FBgn0033921,CG8589,tej,ben_74
12,FBgn0036640,CG4118,nxf2,ben_74
13,FBgn0004872,CG6122,piwi,ben_74
14,FBgn0002021,CG10655,l(2)37Bb,ben_74
15,FBgn0031398,CG10880,daed,ben_74
16,FBgn0000451,CG6611,ect,ben_74
17,FBgn0030293,CG1737,CG1737,ben_74
18,FBgn0003483,CG3158,spn-E,ben_74
19,FBgn0287725,CG14438,sov,ben_74
20,FBgn0004400,CG10683,rhi,ben_74
21,FBgn0003401,CG4735,shu,ben_74
22,FBgn0041164,CG11513,armi,ben_74
23,FBgn0283442,CG46283,vas,ben_74
24,FBgn0035842,CG7504,Setx,ben_74
25,FBgn0263143,CG4771,vret,ben_74
26,FBgn0034988,CG3362,cN-IIIB,ben_74
27,FBgn0001197,CG5499,His2Av,ben_74
28,FBgn0000146,CG6137,aub,ben_74
29,FBgn0016687,CG4634,Nurf-38,ben_74
30,FBgn0037446,CG10267,Zif,ben_74
31,FBgn0031979,CG7429,CCDC53,ben_74
32,FBgn0010774,CG1101,Ref1,ben_74
33,FBgn0030451,CG15717,CG15717,ben_74
34,FBgn0031296,CG4415,gNacalpha,ben_74
35,FBgn0037205,CG11133,BoYb,ben_74
36,FBgn0036826,CG3893,arx,ben_74
37,FBgn0263232,CG32135,Nxf3,ben_74
38,FBgn0027579,CG5508,mino,ben_74
39,FBgn0033526,CG12892,Caf1-105,ben_74
40,FBgn0011592,CG8581,fra,ben_74
41,FBgn0027499,CG12340,wde,ben_74
42,FBgn0004644,CG4637,hh,ben_74
43,FBgn0013347,CG5163,TfIIA-S,ben_74
44,FBgn0014127,CG10726,barr,ben_74
45,FBgn0039691,CG1972,IntS11,ben_74
46,FBgn0029941,CG1677,CG1677,ben_74
47,FBgn0283469,CG6842,Vps4,ben_74
48,FBgn0036973,CG5585,Rbbp5,ben_74
49,FBgn0000541,CG32346,E(bx),ben_74
50,FBgn0036147,CG6199,Plod,ben_74
51,FBgn0263832,CG1135,Rcd5,ben_74
52,FBgn0021750,CG4938,SerRS-m,ben_74
53,FBgn0033062,CG7843,Ars2,ben_74
54,FBgn0010411,CG8900,RpS18,ben_74
55,FBgn0032197,CG5694,ova,ben_74
56,FBgn0010387,CG8627,Acbp2,ben_74
57,FBgn0029867,CG3847,CG3847,ben_74
58,FBgn0035286,CG13924,CG13924,ben_74
59,FBgn0035323,CG13807,CG13807,ben_74
60,FBgn0033897,CG8233,Rcd1,ben_74
61,FBgn0004687,CG3201,Mlc-c,ben_74
62,FBgn0036373,CG10741,Tgi,ben_74
63,FBgn0264962,CG10228,Pcf11,ben_74
64,FBgn0023177,CG32505,Pp4-19C,ben_74
65,FBgn0016041,CG12157,Tom40,ben_74
66,FBgn0039254,CG13645,Nmnat,ben_74
67,FBgn0001994,CG7664,crp,ben_74
68,FBgn0026575,CG32575,hang,ben_74
69,FBgn0032030,CG17293,Wdr82,ben_74
70,FBgn0024996,CG2677,eIF2Bbeta,ben_74
71,FBgn0037707,CG16788,RnpS1,ben_74
72,FBgn0035357,CG1244,MEP-1,ben_74
73,FBgn0033806,CG4616,FLASH,ben_74
74,FBgn0023095,CG11282,caps,ben_74
1,FBgn0263198,CG10473,Acn,ben_216
2,FBgn0086251,CG9252,del,ben_216
3,FBgn0267347,CG4711,squ,ben_216
4,FBgn0016034,CG11254,mael,ben_216
5,FBgn0260932,CG13190,cuff,ben_216
6,FBgn0033374,CG13741,Boot,ben_216
7,FBgn0261266,CG12314,zuc,ben_216
8,FBgn0030373,CG12721,moon,ben_216
9,FBgn0033273,CG2183,Gasz,ben_216
10,FBgn0034617,CG9754,Panx,ben_216
