FBID Symbol status
FBgn0000008 a va
FBgn0000032 Acph-1 va
FBgn0029512 Aos1 va
FBgn0041164 armi va
FBgn0000163 baz va
FBgn0038925 Cchl va
FBgn0032783 CG10237 va
FBgn0027512 CG10254 va
FBgn0037108 CG11306 va
FBgn0031228 CG11455 va
FBgn0039796 CG12069 va
FBgn0033221 CG12825 va
FBgn0033464 CG1441 va
FBgn0034151 CG15617 va
FBgn0040732 CG16926 va
FBgn0030263 CG2076 va
FBgn0033187 CG2144 va
FBgn0033273 CG2183 va
FBgn0000092 CG2650 va
FBgn0051097 CG31097 va
FBgn0051288 CG31288 va
FBgn0051871 CG31871 va
FBgn0038224 CG3321 va
FBgn0053213 CG33213 va
FBgn0085243 CG34214 va
FBgn0035007 CG3492 va
FBgn0036826 CG3893 va
FBgn0034982 CG4065 va
FBgn0034661 CG4386 va
FBgn0028863 CG4587 va
FBgn0038739 CG4686 va
FBgn0028868 CG4701 va
FBgn0043456 CG4747 va
FBgn0032242 CG5355 va
FBgn0036121 CG6310 va
FBgn0028494 CG6424 va
FBgn0037855 CG6621 va
FBgn0037958 CG6962 va
FBgn0035689 CG7376 va
FBgn0030658 CG7872 va
FBgn0030655 CG9213 va
FBgn0034617 CG9754 va
FBgn0034861 CG9815 va
FBgn0034649 CG9865 va
FBgn0261016 clos va
FBgn0028940 Cyp28a5 va
FBgn0033659 Damm va
FBgn0001624 dlg1 va
FBgn0015664 Dref va
FBgn0260634 eIF4G2 va
FBgn0085421 Epac va
FBgn0035849 ERR va
FBgn0011554 etaTry va
FBgn0000928 fs(1)Yb va
FBgn0036053 iPLA2-VIA va
FBgn0087013 Karybeta3 va
FBgn0086372 lap va
FBgn0029800 lin-52 va
FBgn0016034 mael va
FBgn0043884 mask va
FBgn0038016 MBD-R2 va
FBgn0262519 Mi-2 va
FBgn0261963 mid va
FBgn0026061 Mipp1 va
FBgn0015520 nonA-l va
FBgn0021761 Nup154 va
FBgn0038609 Nup43 va
FBgn0036640 nxf2 va
FBgn0028411 Nxt1 va
FBgn0053526 PNUTS va
FBgn0003162 Pu va
FBgn0035489 Rcd5 va
FBgn0037707 RnpS1 va
FBgn0003300 run va
FBgn0033033 scaf va
FBgn0003388 shd va
FBgn0003401 shu va
FBgn0028982 Spt6 va
FBgn0003612 Su(var)2-10 va
FBgn0029117 Surf1 va
FBgn0027360 Tim10 va
FBgn0027865 Tsp96F va
FBgn0029113 Uba2 va
FBgn0263143 vret va
FBgn0027499 wde va
FBgn0034970 yki va
FBgn0261266 zuc va
