FBID	CG	Symbol	Ben_137	Handler_144	Muerdter_87	sum
FBgn0003401	CG4735	shu	1	1	1	3
FBgn0016034	CG11254	mael	1	1	1	3
FBgn0027499	CG12340	wde	1	1	1	3
FBgn0028411	CG12752	Nxt1	1	1	1	3
FBgn0033273	CG2183	Gasz	1	1	1	3
FBgn0034617	CG9754	Panx	1	1	1	3
FBgn0036826	CG3893	arx	1	1	1	3
FBgn0037707	CG16788	RnpS1	1	1	1	3
FBgn0041164	CG11513	armi	1	1	1	3
FBgn0261266	CG12314	zuc	1	1	1	3
FBgn0263143	CG4771	vret	1	1	1	3
FBgn0000928	CG2706	fs(1)Yb	0	1	1	2
FBgn0001197	CG5499	His2Av	1	1	0	2
FBgn0002736	CG9401	mago	1	1	0	2
FBgn0004872	CG6122	piwi	1	1	0	2
FBgn0011741	CG11678	Arp6	1	1	0	2
FBgn0027865	CG6120	Tsp96F	1	0	1	2
FBgn0028982	CG12225	Spt6	1	0	1	2
FBgn0029113	CG7528	Uba2	1	0	1	2
FBgn0029512	CG12276	Aos1	1	0	1	2
FBgn0032030	CG17293	Wdr82	1	1	0	2
FBgn0033378	CG8781	tsu	1	1	0	2
FBgn0033526	CG12892	Caf1-105	1	1	0	2
FBgn0033737	CG8831	Nup54	1	1	0	2
FBgn0033806	CG4616	FLASH	1	1	0	2
FBgn0035357	CG1244	MEP-1	1	1	0	2
FBgn0035842	CG7504	CG7504	1	1	0	2
FBgn0036640	CG4118	nxf2	1	0	1	2
FBgn0038016	CG10042	MBD-R2	1	0	1	2
FBgn0038546	CG7379	CG7379	1	1	0	2
FBgn0087013	CG1059	Karybeta3	0	1	1	2
FBgn0260634	CG10192	eIF4G2	1	0	1	2
FBgn0263198	CG10473	Acn	1	1	0	2
n.d.	NA	NA	1	1	0	2
FBgn0000008	CG6741	a	0	0	1	1
FBgn0000032	CG7899	Acph-1	0	0	1	1
FBgn0000092	CG2650	CG2650	0	0	1	1
FBgn0000146	CG6137	aub	1	0	0	1
FBgn0000163	CG5055	baz	0	0	1	1
FBgn0000376	CG2714	crm	0	1	0	1
FBgn0000451	CG6611	ect	1	0	0	1
FBgn0000541	CG32346	E(bx)	1	0	0	1
FBgn0001220	CG8542	Hsc70-5	1	0	0	1
FBgn0001222	CG5748	Hsf	1	0	0	1
FBgn0001341	CG6189	Mybbp1A	1	0	0	1
FBgn0001624	CG1725	dlg1	0	0	1	1
FBgn0001989	CG13240	ND-B17	0	1	0	1
FBgn0001994	CG7664	crp	1	0	0	1
FBgn0002021	CG10655	l(2)37Bb	1	0	0	1
FBgn0002579	CG7622	RpL36	1	0	0	1
FBgn0002791	CG3060	mr	0	1	0	1
FBgn0003062	CG9888	Fib	1	0	0	1
FBgn0003162	CG9441	Pu	0	0	1	1
FBgn0003300	CG1849	run	0	0	1	1
FBgn0003321	CG1664	sbr	0	1	0	1
FBgn0003388	CG13478	shd	0	0	1	1
FBgn0003483	CG3158	spn-E	1	0	0	1
FBgn0003607	CG8409	Su(var)205	1	0	0	1
FBgn0003612	CG8068	Su(var)2-10	0	0	1	1
FBgn0003886	CG9476	alphaTub85E	1	0	0	1
FBgn0004106	CG5363	Cdk1	1	0	0	1
FBgn0004362	CG17950	HmgD	0	1	0	1
FBgn0004400	CG10683	rhi	1	0	0	1
FBgn0004465	CG4086	Su(P)	0	1	0	1
FBgn0004644	CG4637	hh	1	0	0	1
FBgn0004687	CG3201	Mlc-c	1	0	0	1
FBgn0004828	CG8989	His3.3B	0	1	0	1
FBgn0004915	CG5193	TfIIB	1	0	0	1
FBgn0004924	CG6146	Top1	0	1	0	1
FBgn0005648	CG2163	Pabp2	1	0	0	1
FBgn0005655	CG9193	PCNA	1	0	0	1
FBgn0005672	CG10334	spi	0	1	0	1
FBgn0005683	CG5354	pie	1	0	0	1
FBgn0010278	CG4817	Ssrp	1	0	0	1
FBgn0010328	CG5965	woc	1	0	0	1
FBgn0010387	CG8627	Acbp2	1	0	0	1
